rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
4,B07RSL1R5N,"ARKYLE Winter Socks for Men Thick Terry Towel Cushion Socks, Free Size, Pack of 4",ARKYLE,284.0,INR,4.1,7104,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/91hIyGIagmL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/ARKYLE-Woolen-Winter-Cushion-Assorted/dp/B07RSL1R5N/ref=zg_bs_g_1968025031_d_sccl_4/520-8057880-3717024?psc=1,2026-03-24T12:54:00.055729,2,15,True,budget,high
5,B085TN8792,"ZORO Stretchable Woven Fabric belt for Men & Women,Fits on upto 40 inches waist size,Hole free design",ZORO,237.0,INR,4.2,1620,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/718esA8eNhL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/ZORO-Stretchable-braided-cotton-ladies/dp/B085TN8792/ref=zg_bs_g_1968025031_d_sccl_5/520-8057880-3717024?psc=1,2026-03-24T12:54:00.057752,2,17,True,budget,high
6,B09Y8SRCXG,"HEELIUM Bamboo Ankle Socks for Men & Women | Ultra-Soft, Odour-Free, Thin & Breathable | 3X Softer than Cotton | Sizes - M (UK 4-8) & L (UK 9-13)",HEELIUM,647.0,INR,3.9,1635,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/91Pn1srtmoL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Heelium-Bamboo-Ankle-Socks-Men/dp/B09Y8SRCXG/ref=zg_bs_g_1968025031_d_sccl_6/520-8057880-3717024?psc=1,2026-03-24T12:54:00.066702,2,29,True,mid,high
7,B0CK4TYJ18,PAROPKAR 100% Cotton lycra Skull Caps Lightweight Beanie Sleep Hats Breathable Helmet Liner Cap Biking Cycling Cap for Unisex,PAROPKAR,179.0,INR,4.1,1328,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/61mYIAMrYZL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/PAROPKAR-Skull-Lightweight-Breathable-Cap/dp/B0CK4TYJ18/ref=zg_bs_g_1968025031_d_sccl_7/520-8057880-3717024?psc=1,2026-03-24T12:54:00.068040,2,19,True,budget,high
8,B09LD17LMR,"HAMMONDS FLYCATCHER Genuine Leather Belt for Men - Adjustable Waistband up to 46 Inches Belt for Jeans & Dress Pants - 1.5"" Width - Zinc Casted Buckle - Formal & Casual Wear - Branded Mens Belt",HAMMONDS,499.0,INR,4.1,2126,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/71vCqpjeJaL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Hammonds-Flycatcher-Genuine-Leather-Redhood/dp/B09LD17LMR/ref=zg_bs_g_1968025031_d_sccl_8/520-8057880-3717024?psc=1,2026-03-24T12:54:00.069765,2,36,True,budget,high
9,B08SJZ2NHW,Van Heusen Men Cotton Regular Socks,Van,479.0,INR,4.2,1362,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/410f1h0rpGL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Van-Heusen-Cotton-length-Socks/dp/B08SJZ2NHW/ref=zg_bs_g_1968025031_d_sccl_9/520-8057880-3717024?psc=1,2026-03-24T12:54:00.071153,2,6,True,budget,high
10,B08NT6M2Z5,"BLITZSOX Hi-Tech Performance Sports Socks for Men (Badminton, Running, Gym & Indoor Training), Pack of 3",BLITZSOX,399.0,INR,4.2,6885,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/91lDYam5W1L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/BLITZSOX-Performance-Badminton-Training-Multi-coloured/dp/B08NT6M2Z5/ref=zg_bs_g_1968025031_d_sccl_10/520-8057880-3717024?psc=1,2026-03-24T12:54:00.072406,2,16,True,budget,high
11,B09K39XYKB,Jockey Cotton Men White Casual Style Handkerchief (Pack Of 3) Hk01_White_Free Size,Jockey,297.0,INR,4.3,1823,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/51ow5uRVwFL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Jockey-White-Handkerchief-Pack-HK01_White_FREE/dp/B09K39XYKB/ref=zg_bs_g_1968025031_d_sccl_11/520-8057880-3717024?psc=1,2026-03-24T12:54:00.073524,2,12,True,budget,high
12,B08R8X5JMK,Allen Solly Cotton Men Ankle Length Socks,Allen,449.0,INR,4.0,2587,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/51HaTJK5m-L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Allen-Solly-Cotton-Quarter-length/dp/B08R8X5JMK/ref=zg_bs_g_1968025031_d_sccl_12/520-8057880-3717024?psc=1,2026-03-24T12:54:00.074625,2,7,True,budget,high
13,B0CKHZKMR8,"Supersox Low Cut No Show Loafer Socks For Men Combo, Made With Durable, Breathable, Anti Odour & Moisture Absorbent Combed Cotton with Anti Slip Grip (Pack of 4)",Supersox,320.0,INR,4.0,629,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/81eDO7bs1tL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Supersox-Show-Loafer-Socks-Men/dp/B0CKHZKMR8/ref=zg_bs_g_1968025031_d_sccl_13/520-8057880-3717024?psc=1,2026-03-24T12:54:00.075726,2,28,True,budget,medium
14,B09TSZ191V,"HEELIUM Bamboo Crew Socks for Men | Formal Socks, Full Length | Odour Free & Cushioned Base | 3X Softer than Regular Socks",HEELIUM,755.0,INR,4.1,2759,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/81kYos-YtGL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Heelium-Socks-Men-Calf-Length/dp/B09TSZ191V/ref=zg_bs_g_1968025031_d_sccl_14/520-8057880-3717024?psc=1,2026-03-24T12:54:00.076832,2,23,True,mid,high
15,B073WZD93T,NAVYSPORT Men's Crew Length Cushion Cotton Socks (Pack of 3) (SF-M-1_Multicolour) Free Size,NAVYSPORT,251.0,INR,4.0,8463,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/91a4Z4AwWhL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Navy-Sport-Cotton-Solid-Length/dp/B073WZD93T/ref=zg_bs_g_1968025031_d_sccl_15/520-8057880-3717024?psc=1,2026-03-24T12:54:00.078765,2,13,True,budget,high
