rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
14,B0FP4S4JX2,"Kleenest Magic Eraser Cleaning Sponge | Pack of 4 | Chemical-Free, Multi-Purpose Wipe for Effortless Cleaning of Kitchen, Bathroom, Walls, Shoes & More – Tough on Stains, Gentle on Surfaces",Kleenest,299.0,INR,4.0,1217,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/61ykzpOaFKL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Kleenest-Cleaning-Chemical-Free-Multi-Purpose-Effortless/dp/B0FP4S4JX2/ref=zg_bs_g_1374544031_d_sccl_14/523-2315591-5749706?psc=1,2026-03-24T13:08:07.231170,1,30,True,budget,high
15,B0DSHWJ73W,"Dettol Antiseptic Liquid for First Aid, Surface Disinfection and Personal Hygiene, 1300ml",Dettol,521.0,INR,4.6,3589,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/51r2AuwfwNL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Dettol-Antiseptic-Surface-Disinfection-Personal/dp/B0DSHWJ73W/ref=zg_bs_g_1374544031_d_sccl_15/523-2315591-5749706?psc=1,2026-03-24T13:08:07.233074,1,12,True,mid,high
16,B0G1BH6KJL,"Happi Planet | Limescale Remover & Kitchen Cleaner Combo | India’s 1st Foaming Solution for Reduced Scrubbing | Suitable for Stove, Chimney, Exhaust Fan & Bathroom Fixtures, Tiles, Mirrors",Happi,360.0,INR,4.1,2007,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/71V8tFhVudL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Happi-Planet-Limescale-Solution-Scrubbing/dp/B0G1BH6KJL/ref=zg_bs_g_1374544031_d_sccl_16/523-2315591-5749706?psc=1,2026-03-24T13:08:07.235077,1,29,True,budget,high
17,B07L8WCL4D,"Nimyle ITC's Eco Friendly Floor Cleaner Liquid, Herbal 2L, with Power of Neem for 99.9% Anti Bacterial Protection, Surface Cleaner",Nimyle,232.0,INR,4.4,15535,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/712QoUqNi6L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Nimyle-Herbal-Floor-Cleaner/dp/B07L8WCL4D/ref=zg_bs_g_1374544031_d_sccl_17/523-2315591-5749706?psc=1,2026-03-24T13:08:07.237002,1,20,True,budget,high
18,B07DCXYJ4N,"Lizol Disinfectant Surface Cleaner, Citrus - 5 L",Lizol,959.0,INR,4.4,64538,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/71-pg4x-YKL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Lizol-Disinfectant-Surface-Cleaner-Citrus/dp/B07DCXYJ4N/ref=zg_bs_g_1374544031_d_sccl_18/523-2315591-5749706?psc=1,2026-03-24T13:08:07.238915,1,8,True,mid,high
19,B0CV79F1TM,"Amazon Brand - Presto! Phenyl Floor Cleaner | 5 Litre | Suitable For Hospitals, Homes, Offices | 10X Cleaning Power | Fights Germs",Amazon,285.0,INR,4.0,6124,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/61kTE42N+mL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Amazon-Brand-Suitable-Hospitals-cleaning/dp/B0CV79F1TM/ref=zg_bs_g_1374544031_d_sccl_19/523-2315591-5749706?psc=1,2026-03-24T13:08:07.240499,1,23,True,budget,high
20,B01HGN96GW,"Harpic Disinfectant Bathroom Cleaner Liquid, Lemon - 1 L | India's # 1 Bathroom Cleaner",Harpic,217.0,INR,4.4,32500,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/5162SqIsONL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Harpic-Bathroom-Cleaner-Lemon/dp/B01HGN96GW/ref=zg_bs_g_1374544031_d_sccl_20/523-2315591-5749706?psc=1,2026-03-24T13:08:07.241733,1,15,True,budget,high
21,B071HGVPSJ,"Harpic Bathroom Cleaner Liquid, Lemon - 1 Litre (Pack of 2) | New Thicker Bathroom Floor Cleaner | Red Harpic Bottle",Harpic,378.0,INR,4.4,15772,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/61eIK9gQvGL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Harpic-Bathroom-Cleaner-Lemon-Pack/dp/B071HGVPSJ/ref=zg_bs_g_1374544031_d_sccl_21/523-2315591-5749706?psc=1,2026-03-24T13:08:07.242877,1,21,True,budget,high
22,B08CPRYLK4,"Lizol Disinfectant Surface & Floor Cleaner Liquid Refill Pack, Citrus - 1800 ml",Lizol,299.0,INR,4.5,12411,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/71ytH+5phtL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Lizol-Disinfectant-Cleaner-Refill-Citrus/dp/B08CPRYLK4/ref=zg_bs_g_1374544031_d_sccl_22/523-2315591-5749706?psc=1,2026-03-24T13:08:07.244017,1,13,True,budget,high
23,B07227PB7C,"Colin 1 Litre Refill , Glass and Surface Cleaner Liquid | India's #1 All-Purpose Glass Cleaner | Glass Cleaner for Car, Kitchen and Home Surfaces | Multi Surface Cleaner",Colin,215.0,INR,4.5,11538,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/61wt6ncqelL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Colin-Glass-Cleaner-Liquid-Refill/dp/B07227PB7C/ref=zg_bs_g_1374544031_d_sccl_23/523-2315591-5749706?psc=1,2026-03-24T13:08:07.245317,1,29,True,budget,high
