rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
20,9356405433,"It’s Easy to Be Healthy: Malaika’s Guide to Living a Good Life — A Bestseller Wellness Guide to Fitness, Nutrition, Beauty and Healthy Living",Paperback,260.0,INR,4.3,95,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/61N+HZqYxbL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Its-Easy-Healthy-Bestseller-Nutrition/dp/9356405433/ref=zg_bs_g_books_d_sccl_20/525-5410174-7085937?psc=1,2026-03-24T12:49:18.011586,1,24,True,budget,low
21,9390093953,101 Tales The Great Panchatantra Collection - Collection of Witty Moral Stories For Kids For Personality Development (Hardback),Hardcover,349.0,INR,4.6,3156,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/71My1M0AgZL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/101-Tales-Great-Panchatantra-Collection/dp/9390093953/ref=zg_bs_g_books_d_sccl_21/525-5410174-7085937?psc=1,2026-03-24T12:49:18.012902,1,18,True,budget,high
22,9386538601,Mandala Art: Colouring books for Adults with tear out sheets,Paperback,199.0,INR,4.5,7621,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/81d9LCBOZAL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601/ref=zg_bs_g_books_d_sccl_22/525-5410174-7085937?psc=1,2026-03-24T12:49:18.014164,1,10,True,budget,high
23,9357296425,NCERT CLASS 8 Ganita Prakash Textbook of Mathematics 874 2025-2026 EDITION,Paperback,44.94,INR,4.4,437,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/71lCDKjNOoL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Ganita-Prakash-Textbook-Mathematics-2025-2026/dp/9357296425/ref=zg_bs_g_books_d_sccl_23/525-5410174-7085937?psc=1,2026-03-24T12:49:18.015435,1,11,True,budget,medium
24,B0743DXTVX,"SHNMN Sank Magic Practice Copybook, (4 BOOK +1 PEN + 10 REFILL) Number Tracing Book for Preschoolers with Pen, Magic calligraphy books for kids Reusable Writing Tool",Unknown Binding,269.0,INR,4.1,4962,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/71fTA8TF23L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Practice-Copybook-Preschoolers-calligraphy-Reusable/dp/B0743DXTVX/ref=zg_bs_g_books_d_sccl_24/525-5410174-7085937?psc=1,2026-03-24T12:49:18.016738,1,27,True,budget,high
25,9390183790,"Cursive Handwriting for Kids: Sentence Workbook (Ages 6–10) | Bestseller for Fluent Handwriting | Improve Fluency, Spacing, Style & Confidence | #1 Bestseller in Handwriting | Top-Rated Cursive Workbook",Paperback,99.0,INR,4.3,1862,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/61Wz4F7BeBL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Cursive-Handwriting-Sentence-Practice-Workbook/dp/9390183790/ref=zg_bs_g_books_d_sccl_25/525-5410174-7085937?psc=1,2026-03-24T12:49:18.018046,1,29,True,budget,high
26,8172234988,The Alchemist,Paperback,264.0,INR,4.6,136077,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/617lxveUjYL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_g_books_d_sccl_26/525-5410174-7085937?psc=1,2026-03-24T12:49:18.019426,1,2,True,budget,high
27,9373745131,Oxford Student Atlas for India | For UPSC and Other Competitive Exams | 7th Edition,Paperback,245.0,INR,4.6,61,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/71iY-CruqwL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Oxford-Student-Atlas-India-Competitive/dp/9373745131/ref=zg_bs_g_books_d_sccl_27/525-5410174-7085937?psc=1,2026-03-24T12:49:18.020740,1,15,True,budget,low
28,B08K4JM83V,NCERT Textbooks in English for class 12 - Flamingo and Vistas - 12074 &12075,Paperback,95.0,INR,4.4,2291,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/61QyHl9wiDL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/NCERT-Textbooks-English-class-12/dp/B08K4JM83V/ref=zg_bs_g_books_d_sccl_28/525-5410174-7085937?psc=1,2026-03-24T12:49:18.022057,1,14,True,budget,high
29,B09LV1KHKV,"Word Power Made Easy - RED COVER • Original and Authorized • The Most Effective Vocabulary Builder In the English Language • Over One Millions Copies sold worldwide • With Self Preparation Test, useful for all English exams • Latest 2024 Edition.",Paperback,153.0,INR,4.4,4781,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/71DortY2MXL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_g_books_d_sccl_29/525-5410174-7085937?psc=1,2026-03-24T12:49:18.023371,1,42,True,budget,high
