rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
20,B01HMLB0LW,"Cetaphil Moisturising Cream 100 g for Dry & Sensitive Skin | 48H Hydration with Almond Oil, Niacinamide & Panthenol | Rich Fragrance and Paraben Free Moisturiser, Prevents Moisture Loss & Repairs Skin Barrier | Dermatologist Recommended",Cetaphil,669.0,INR,4.3,19250,Beauty,Beauty,,"https://images-eu.ssl-images-amazon.com/images/I/615fFn0PrZL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Cetaphil-Moisturising-Cream-80g/dp/B01HMLB0LW/ref=zg_bs_g_beauty_d_sccl_20/524-9038149-7165850?psc=1,2026-03-24T12:44:34.845428,2,36,True,mid,high
21,B08QSWPZS5,"Maybelline New York Fit Me Compact Powder, Matte + Poreless Compact Powder, upto 16 hours of Oil Control with SPF 32 PA+++ and UV filters & ideal for normal to oily skin - 128 Warm Nude|6g",Maybelline,149.0,INR,4.2,43056,Beauty,Beauty,,"https://images-eu.ssl-images-amazon.com/images/I/61FDV10Re5L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Maybelline-York-12Hr-Control-Compact/dp/B08QSWPZS5/ref=zg_bs_g_beauty_d_sccl_21/524-9038149-7165850?psc=1,2026-03-24T12:44:34.846657,2,36,True,budget,high
22,B0828VX6NQ,"Lakme Forever Matte Liquid Lip Colour, Long-Lasting Liquid Lipstick, Lightweight & Transferproof, Smudgeproof - Nude Dream, 5.6ml",Lakme,270.0,INR,4.1,35649,Beauty,Beauty,,"https://images-eu.ssl-images-amazon.com/images/I/41atIsFBMlL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Long-Lasting-Lipstick-Lightweight-Transferproof-Smudgeproof/dp/B0828VX6NQ/ref=zg_bs_g_beauty_d_sccl_22/524-9038149-7165850?psc=1,2026-03-24T12:44:34.848074,2,17,True,budget,high
23,B0CHW268JT,"BELLAVITA CEO Man & White Oud Unisex | Long Lasting Perfume | Perfume for Man & Woman | EDP 2x20ml | Tonka, Agarwood & Orange | Woody, Spicy & Citrus Premium Fragrance",BELLAVITA,199.0,INR,4.2,10766,Beauty,Beauty,,"https://images-eu.ssl-images-amazon.com/images/I/519mdAYKTQL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Bella-Vita-Luxury-Agarwood-Fragrance/dp/B0CHW268JT/ref=zg_bs_g_beauty_d_sccl_23/524-9038149-7165850?psc=1,2026-03-24T12:44:34.849219,2,32,True,budget,high
24,B09WJG7QTR,"Dr. Sheth's Ceramide & Vitamin C Sunscreen | In-Vivo Tested | Protects, Moisturizes & Brightens Skin | SPF 50+ PA++++ | Lightweight, Leaves No White Cast | 50 g",Dr.,429.0,INR,4.2,13553,Beauty,Beauty,,"https://images-eu.ssl-images-amazon.com/images/I/61aSyuxktEL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Dr-Sheths-Sunscreen-Sensitive-Protection/dp/B09WJG7QTR/ref=zg_bs_g_beauty_d_sccl_24/524-9038149-7165850?psc=1,2026-03-24T12:44:34.850281,2,29,True,budget,high
25,B0F19GZXB1,"Silicone Face Bowl for Ice with Built-In Icetray, Collapsible Face Tub for Ice Bath, Facial Ice Plunge Bowl, Ice Water Facials at Home",Silicone,114.0,INR,4.0,199,Beauty,Beauty,,"https://images-eu.ssl-images-amazon.com/images/I/71azR20f8cL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Silicone-Built-Icetray-Collapsible-Facials/dp/B0F19GZXB1/ref=zg_bs_g_beauty_d_sccl_25/524-9038149-7165850?psc=1,2026-03-24T12:44:34.851331,2,23,True,budget,medium
26,B003NQESIS,Parachute Coconut Oil - 1 L Pet Jar,Parachute,449.0,INR,4.4,42249,Beauty,Beauty,,"https://images-eu.ssl-images-amazon.com/images/I/71UAbfo2kjL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Parachute-Coconut-Oil-1-L/dp/B003NQESIS/ref=zg_bs_g_beauty_d_sccl_26/524-9038149-7165850?psc=1,2026-03-24T12:44:34.852373,2,8,True,budget,high
27,B01FS8F19S,"UV Doux Silicone Sunscreen Gel SPF 50 PA+++|India’s No.1 Dermatologist Recommended Brand|Invitro,In-Vivo Tested|UVA/UVB Protection, Benzene Free|No White Cast |Oily & Acne-Prone Skin |50 g",UV,718.0,INR,4.3,10301,Beauty,Beauty,,"https://images-eu.ssl-images-amazon.com/images/I/61q-haaeRQL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Sunscreen-Comedogenic-Resistant-Clinically-Dermatologist/dp/B01FS8F19S/ref=zg_bs_g_beauty_d_sccl_27/524-9038149-7165850?psc=1,2026-03-24T12:44:34.853440,2,24,True,mid,high
28,B006LX9K92,"Garnier Skin Naturals, Facewash, Cleansing and Brightening, Bright Complete, 100 g",Garnier,168.0,INR,4.2,13734,Beauty,Beauty,,"https://images-eu.ssl-images-amazon.com/images/I/61Vp0-XHx2L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Garnier-Skin-Naturals-Light-Complete/dp/B006LX9K92/ref=zg_bs_g_beauty_d_sccl_28/524-9038149-7165850?psc=1,2026-03-24T12:44:34.854516,2,11,True,budget,high
29,B07NDXJGF8,"L'Oréal Professionnel Absolut Repair Mask for Dry & Damaged Hair - 250ml | Professional mask for Strengthening and Repairing Hair, With Protein & Omega-9, For Men & Women",L'Oréal,891.0,INR,4.1,11882,Beauty,Beauty,,"https://images-eu.ssl-images-amazon.com/images/I/61BkUCDM8VL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/LOr%C3%A9al-Professionnel-Absolut-Repair-Damaged/dp/B07NDXJGF8/ref=zg_bs_g_beauty_d_sccl_29/524-9038149-7165850?psc=1,2026-03-24T12:44:34.855609,2,28,True,mid,high
30,B07BNS25DB,Pears Original Glycerin Soap Bar - Pure & Gentle Glow | With 98% Pure Glycerin | For Hydration & Glow | With Plant Based Cleanser for Skin & Body | Paraben-free | 125gms x 8,Pears,391.0,INR,4.4,19501,Beauty,Beauty,,"https://images-eu.ssl-images-amazon.com/images/I/51hE0ECac6L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Pears-Pure-Gentle-Bathing-Pack/dp/B07BNS25DB/ref=zg_bs_g_beauty_d_sccl_30/524-9038149-7165850?psc=1,2026-03-24T12:44:34.856684,2,35,True,budget,high
