keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
women,53,14.2,['Jewellery'],3.97,1089.0,1
for women,43,13.7,['Jewellery'],3.93,887.0,1
girls,42,15.7,['Jewellery'],4.03,823.0,1
hair,35,16.2,['Jewellery'],4.14,381.0,1
fashion,24,17.5,['Jewellery'],4.03,949.0,1
set for,21,11.4,['Jewellery'],3.81,601.0,1
stylish,21,15.2,['Jewellery'],3.96,1394.0,1
jewellery,20,15.1,['Jewellery'],4.02,2173.0,1
shining,18,16.2,['Jewellery'],3.99,1108.0,1
diva,18,16.2,['Jewellery'],3.99,1108.0,1
shining diva,18,16.2,['Jewellery'],3.99,1108.0,1
diva fashion,18,16.2,['Jewellery'],3.99,1108.0,1
traditional,16,15.9,['Jewellery'],3.91,632.0,1
for girls,16,14.4,['Jewellery'],3.94,1372.0,1
gold,16,16.3,['Jewellery'],4.02,1730.0,1
necklace,15,13.6,['Jewellery'],3.92,1115.0,1
latest,14,13.4,['Jewellery'],3.92,1198.0,1
gifts,14,17.8,['Jewellery'],4.12,589.0,1
accessories,13,14.5,['Jewellery'],4.05,320.0,1
bracelet,13,13.7,['Jewellery'],3.96,1745.0,1
clips,12,15.7,['Jewellery'],4.02,307.0,1
wedding,11,13.6,['Jewellery'],3.88,406.0,1
women girls,11,17.3,['Jewellery'],4.1,262.0,1
men,11,19.2,['Jewellery'],4.0,825.0,1
plated,11,14.5,['Jewellery'],3.99,2225.0,1
bangles,10,12.1,['Jewellery'],3.81,81.0,1
latest stylish,10,13.7,['Jewellery'],3.95,1001.0,1
for men,10,20.2,['Jewellery'],4.01,746.0,1
gold plated,10,15.7,['Jewellery'],4.01,2334.0,1
gift,10,19.1,['Jewellery'],4.04,363.0,1
set of,9,10.6,['Jewellery'],3.76,287.0,1
pendant,9,14.7,['Jewellery'],3.97,664.0,1
fashion pcs,9,14.6,['Jewellery'],3.95,836.0,1
gifts for,9,16.0,['Jewellery'],4.06,760.0,1
combo,9,15.7,['Jewellery'],4.04,412.0,1
women and,9,16.6,['Jewellery'],3.97,848.0,1
and girls,9,15.0,['Jewellery'],3.94,761.0,1
hair accessories,9,16.3,['Jewellery'],4.13,332.0,1
silver,9,18.7,['Jewellery'],4.08,524.0,1
chain,9,21.3,['Jewellery'],4.07,743.0,1
glass,8,8.5,['Jewellery'],3.51,46.0,1
bangle,8,13.4,['Jewellery'],3.7,2145.0,1
pendant necklace,8,14.8,['Jewellery'],3.94,677.0,1
kids,8,17.2,['Jewellery'],4.3,393.0,1
band,8,16.8,['Jewellery'],4.07,694.0,1
clips for,8,12.1,['Jewellery'],3.93,289.0,1
birthday,8,18.8,['Jewellery'],4.45,812.0,1
earrings,8,22.8,['Jewellery'],4.14,890.0,1
gift for,7,20.0,['Jewellery'],4.12,340.0,1
stainless,7,22.6,['Jewellery'],4.03,777.0,1
steel,7,22.6,['Jewellery'],4.03,777.0,1
boys,7,21.6,['Jewellery'],4.01,587.0,1
stainless steel,7,22.6,['Jewellery'],4.03,777.0,1
earrings for,7,22.1,['Jewellery'],4.11,951.0,1
fancy,6,11.7,['Jewellery'],3.77,747.0,1
design,6,11.5,['Jewellery'],4.05,944.0,1
butterfly,6,9.2,['Jewellery'],3.86,749.0,1
pearl,6,12.2,['Jewellery'],3.92,802.0,1
bracelet for,6,16.2,['Jewellery'],3.93,716.0,1
hair clips,6,12.7,['Jewellery'],4.22,334.0,1
accessories for,6,16.0,['Jewellery'],4.12,181.0,1
kashmiri,5,13.2,['Jewellery'],3.67,9.0,1
party,5,9.2,['Jewellery'],3.6,388.0,1
wedding party,5,9.2,['Jewellery'],3.6,388.0,1
women pendant,5,12.6,['Jewellery'],3.86,814.0,1
necklace gifts,5,12.6,['Jewellery'],3.86,814.0,1
of pcs,5,10.2,['Jewellery'],4.28,416.0,1
baby,5,16.8,['Jewellery'],4.24,556.0,1
hairband,5,10.6,['Jewellery'],4.2,490.0,1
adjustable,5,10.0,['Jewellery'],4.0,813.0,1
men boys,5,18.4,['Jewellery'],4.06,628.0,1
cute,5,13.6,['Jewellery'],4.07,104.0,1
pack of,5,12.8,['Jewellery'],4.3,531.0,1
chudi,4,9.0,['Jewellery'],3.5,35.0,1
bangle set,4,11.2,['Jewellery'],3.5,356.0,1
for wedding,4,9.0,['Jewellery'],3.5,35.0,1
bangles set,4,14.2,['Jewellery'],3.97,141.0,1
heart,4,12.8,['Jewellery'],3.9,571.0,1
pcs latest,4,9.5,['Jewellery'],3.95,796.0,1
jewellery set,4,8.5,['Jewellery'],3.88,1880.0,1
pcs combo,4,15.8,['Jewellery'],3.92,645.0,1
pyrite,4,10.2,['Jewellery'],3.73,488.0,1
colorful,4,15.8,['Jewellery'],4.32,616.0,1
jewellery for,4,11.5,['Jewellery'],3.88,3456.0,1
and women,4,17.2,['Jewellery'],4.1,3849.0,1
anklet,4,14.8,['Jewellery'],3.83,308.0,1
frill,4,24.5,['Jewellery'],4.12,581.0,1
fashion frill,4,24.5,['Jewellery'],4.12,581.0,1
small,4,13.0,['Jewellery'],4.07,177.0,1
necklace set,4,16.5,['Jewellery'],3.95,966.0,1
fashion latest,4,15.5,['Jewellery'],4.05,2033.0,1
girls hair,4,16.8,['Jewellery'],4.37,179.0,1
long,4,20.0,['Jewellery'],4.05,890.0,1
mini,4,8.0,['Jewellery'],3.83,156.0,1
flower,4,20.5,['Jewellery'],4.25,304.0,1
rings,4,14.5,['Jewellery'],3.95,702.0,1
pins,4,14.5,['Jewellery'],4.25,153.0,1
boho,4,16.2,['Jewellery'],4.05,778.0,1
bands,4,18.2,['Jewellery'],4.2,408.0,1
band for,4,9.2,['Jewellery'],4.08,587.0,1
ghangharoo,3,10.0,['Jewellery'],3.4,15.0,1
light,3,10.0,['Jewellery'],3.4,15.0,1
weight,3,10.0,['Jewellery'],3.4,15.0,1
transparent,3,10.0,['Jewellery'],3.4,15.0,1
kashmiri ghangharoo,3,10.0,['Jewellery'],3.4,15.0,1
ghangharoo glass,3,10.0,['Jewellery'],3.4,15.0,1
glass bangle,3,10.0,['Jewellery'],3.4,15.0,1
light weight,3,10.0,['Jewellery'],3.4,15.0,1
weight bangles,3,10.0,['Jewellery'],3.4,15.0,1
bangles traditional,3,10.0,['Jewellery'],3.4,15.0,1
traditional transparent,3,10.0,['Jewellery'],3.4,15.0,1
transparent fancy,3,10.0,['Jewellery'],3.4,15.0,1
fancy glass,3,10.0,['Jewellery'],3.4,15.0,1
glass chudi,3,10.0,['Jewellery'],3.4,15.0,1
chudi set,3,10.0,['Jewellery'],3.4,15.0,1
indian,3,12.7,['Jewellery'],4.1,145.0,1
butterfly pearl,3,7.0,['Jewellery'],3.83,693.0,1
necklace jewellery,3,8.0,['Jewellery'],3.83,1907.0,1
infinity,3,10.3,['Jewellery'],4.0,587.0,1
girl,3,20.7,['Jewellery'],4.3,831.0,1
colorful hair,3,18.3,['Jewellery'],4.33,735.0,1
girls kids,3,18.0,['Jewellery'],4.1,850.0,1
hair band,3,10.0,['Jewellery'],4.27,632.0,1
bracelets,3,9.3,['Jewellery'],3.9,5478.0,1
rose,3,13.3,['Jewellery'],4.1,5283.0,1
crystal,3,15.0,['Jewellery'],4.07,4736.0,1
women stylish,3,8.3,['Jewellery'],3.8,4475.0,1
girls and,3,13.0,['Jewellery'],4.13,4586.0,1
stone,3,11.3,['Jewellery'],3.8,347.0,1
protection,3,10.7,['Jewellery'],3.83,709.0,1
pyrite anklet,3,11.3,['Jewellery'],3.7,266.0,1
anklet for,3,16.0,['Jewellery'],3.93,317.0,1
love,3,23.3,['Jewellery'],4.1,465.0,1
silver chain,3,18.3,['Jewellery'],4.13,610.0,1
chain for,3,22.7,['Jewellery'],4.07,662.0,1
multicolor,3,15.0,['Jewellery'],4.15,117.0,1
navratri,3,18.0,['Jewellery'],4.8,3.0,1
kanjak,3,18.0,['Jewellery'],4.8,3.0,1
return,3,18.0,['Jewellery'],4.8,3.0,1
for kids,3,13.0,['Jewellery'],4.3,154.0,1
clip,3,17.3,['Jewellery'],4.35,128.0,1
brass,3,20.7,['Jewellery'],4.0,535.0,1
ear,3,21.7,['Jewellery'],4.0,486.0,1
chains,3,20.7,['Jewellery'],3.93,481.0,1
jhumka,3,22.3,['Jewellery'],4.2,319.0,1
jhumki,3,24.0,['Jewellery'],4.13,554.0,1
matte,3,18.3,['Jewellery'],4.17,240.0,1
floral,3,13.0,['Jewellery'],4.2,414.0,1
zeneme,3,22.3,['Jewellery'],4.2,1031.0,1
yoga,3,18.3,['Jewellery'],4.07,480.0,1
sports,3,18.3,['Jewellery'],4.07,480.0,1
hair bands,3,23.7,['Jewellery'],4.13,536.0,1
kids girls,3,14.7,['Jewellery'],4.47,157.0,1
metal,3,16.3,['Jewellery'],3.9,1037.0,1
headbands,3,20.3,['Jewellery'],4.1,412.0,1
women light,2,3.0,['Jewellery'],3.2,15.0,1
party set,2,3.0,['Jewellery'],3.2,15.0,1
color,2,12.0,['Jewellery'],3.95,136.0,1
ethnic,2,4.0,['Jewellery'],3.85,140.0,1
golden,2,10.0,['Jewellery'],4.05,1068.0,1
festive,2,6.0,['Jewellery'],3.95,991.0,1
glass bangles,2,4.0,['Jewellery'],3.85,140.0,1
traditional ethnic,2,4.0,['Jewellery'],3.85,140.0,1
pearl necklace,2,3.5,['Jewellery'],3.75,1002.0,1
girls np,2,3.5,['Jewellery'],3.75,1002.0,1
combo latest,2,15.0,['Jewellery'],3.8,1074.0,1
glossy,2,10.5,['Jewellery'],3.8,737.0,1
finished,2,10.5,['Jewellery'],3.8,737.0,1
raindrop,2,7.0,['Jewellery'],4.15,49.0,1
glossy finished,2,10.5,['Jewellery'],3.8,737.0,1
astrotalk,2,9.0,['Jewellery'],3.65,718.0,1
wealth,2,9.5,['Jewellery'],3.95,696.0,1
ghungroo,2,18.0,['Jewellery'],4.5,1.0,1
toddlers,2,17.5,['Jewellery'],4.1,1098.0,1
pcs colorful,2,17.5,['Jewellery'],4.1,1098.0,1
kids baby,2,17.5,['Jewellery'],4.1,1098.0,1
hairband hair,2,12.5,['Jewellery'],4.3,857.0,1
bracelets for,2,9.5,['Jewellery'],3.9,7411.0,1
rose gold,2,16.0,['Jewellery'],4.0,7794.0,1
crystal bracelet,2,16.5,['Jewellery'],4.05,6986.0,1
raw,2,11.5,['Jewellery'],3.8,258.0,1
best,2,14.0,['Jewellery'],4.0,829.0,1
items,2,14.0,['Jewellery'],4.0,829.0,1
spiritual,2,11.5,['Jewellery'],3.8,258.0,1
raw pyrite,2,11.5,['Jewellery'],3.8,258.0,1
girls women,2,20.5,['Jewellery'],4.15,482.0,1
shape,2,19.0,['Jewellery'],4.3,186.0,1
diamond,2,17.0,['Jewellery'],4.2,268.0,1
jewelry,2,8.5,['Jewellery'],4.1,385.0,1
bar,2,10.0,['Jewellery'],4.15,312.0,1
mens,2,21.5,['Jewellery'],4.0,466.0,1
love gifts,2,20.5,['Jewellery'],4.25,510.0,1
samyak,2,17.0,['Jewellery'],0,0.0,1
styling,2,18.5,['Jewellery'],4.0,44.0,1
cute hair,2,17.0,['Jewellery'],0,0.0,1
navratri kanjak,2,17.0,['Jewellery'],0,0.0,1
crown,2,17.0,['Jewellery'],4.5,1378.0,1
sister,2,20.0,['Jewellery'],4.35,1070.0,1
birthday gifts,2,16.5,['Jewellery'],4.4,789.0,1
accessories set,2,22.5,['Jewellery'],3.9,340.0,1
