keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
socks,42,15.5,['Clothing Women'],4.06,5938.0,1
men,40,13.9,['Clothing Women'],4.06,4014.0,1
cotton,33,14.7,['Clothing Women'],4.08,4108.0,1
for men,33,15.1,['Clothing Women'],4.04,3669.0,1
pack of,31,16.1,['Clothing Women'],4.09,4743.0,1
ankle,21,13.4,['Clothing Women'],4.04,6341.0,1
cap,20,20.4,['Clothing Women'],4.13,1006.0,1
length,19,14.8,['Clothing Women'],4.1,6712.0,1
belt,19,14.6,['Clothing Women'],4.16,3621.0,1
size,18,15.3,['Clothing Women'],4.04,5908.0,1
women,17,15.1,['Clothing Women'],4.02,2831.0,1
socks for,16,14.4,['Clothing Women'],4.04,6017.0,1
adjustable,15,18.1,['Clothing Women'],4.06,2604.0,1
free size,14,16.1,['Clothing Women'],4.05,6776.0,1
men's,14,18.8,['Clothing Women'],4.12,4806.0,1
ankle length,13,12.8,['Clothing Women'],4.08,7452.0,1
unisex,13,17.3,['Clothing Women'],4.07,1991.0,1
sports,12,19.1,['Clothing Women'],4.01,2524.0,1
caps,12,19.2,['Clothing Women'],3.98,1045.0,1
cap for,12,20.6,['Clothing Women'],4.13,990.0,1
length socks,10,10.5,['Clothing Women'],4.12,6040.0,1
men women,10,13.3,['Clothing Women'],3.98,1662.0,1
leather,10,14.8,['Clothing Women'],4.12,4729.0,1
belt for,10,15.0,['Clothing Women'],4.07,3012.0,1
socks pack,9,17.8,['Clothing Women'],4.08,3477.0,1
leather belt,9,14.8,['Clothing Women'],4.1,5034.0,1
breathable,8,13.1,['Clothing Women'],4.08,3192.0,1
casual,8,15.4,['Clothing Women'],4.08,4847.0,1
pairs,7,13.4,['Clothing Women'],4.04,3740.0,1
ankle socks,7,15.1,['Clothing Women'],3.97,4497.0,1
cotton socks,6,20.5,['Clothing Women'],4.02,8990.0,1
wear,6,18.5,['Clothing Women'],4.25,2530.0,1
combo,6,17.7,['Clothing Women'],4.07,5181.0,1
formal,6,17.3,['Clothing Women'],4.03,4587.0,1
winter,6,17.2,['Clothing Women'],4.33,3596.0,1
solid,5,13.4,['Clothing Women'],4.1,13865.0,1
bamboo,5,13.6,['Clothing Women'],4.08,3299.0,1
genuine,5,13.2,['Clothing Women'],4.14,3828.0,1
genuine leather,5,13.2,['Clothing Women'],4.14,3828.0,1
baseball,5,21.0,['Clothing Women'],3.98,1078.0,1
unisex cap,5,22.4,['Clothing Women'],4.04,896.0,1
navysport,5,22.8,['Clothing Women'],4.0,11930.0,1
summer,5,20.6,['Clothing Women'],3.98,2667.0,1
swagr,4,8.0,['Clothing Women'],3.97,3438.0,1
assorted,4,6.5,['Clothing Women'],4.07,5762.0,1
cotton ankle,4,8.5,['Clothing Women'],4.05,5907.0,1
men and,4,13.2,['Clothing Women'],4.0,7162.0,1
and women,4,13.2,['Clothing Women'],4.0,7162.0,1
multicolor,4,14.0,['Clothing Women'],4.05,4526.0,1
of free,4,17.8,['Clothing Women'],4.0,6041.0,1
length cotton,4,19.0,['Clothing Women'],4.05,9541.0,1
heelium,4,11.0,['Clothing Women'],4.08,2878.0,1
heelium bamboo,4,11.0,['Clothing Women'],4.08,2878.0,1
terry,4,15.0,['Clothing Women'],4.17,6774.0,1
supersox,4,20.0,['Clothing Women'],4.1,4786.0,1
mens,4,19.8,['Clothing Women'],4.15,1107.0,1
branded,4,11.8,['Clothing Women'],4.05,1686.0,1
soft,4,19.5,['Clothing Women'],4.12,2404.0,1
cushion,4,16.0,['Clothing Women'],4.07,8400.0,1
crew,4,19.8,['Clothing Women'],4.05,4680.0,1
formal casual,4,16.0,['Clothing Women'],4.03,5195.0,1
anti,4,21.5,['Clothing Women'],4.05,4558.0,1
strap,4,16.8,['Clothing Women'],4.12,767.0,1
cotton men,3,8.3,['Clothing Women'],4.13,2666.0,1
solid ankle,3,14.3,['Clothing Women'],4.07,19514.0,1
adidas,3,16.7,['Clothing Women'],4.1,1844.0,1
blend,3,17.3,['Clothing Women'],4.1,1820.0,1
cotton blend,3,17.3,['Clothing Women'],4.1,1820.0,1
base,3,12.3,['Clothing Women'],4.17,3811.0,1
softer,3,8.7,['Clothing Women'],4.03,3748.0,1
than,3,8.7,['Clothing Women'],4.03,3748.0,1
regular,3,9.7,['Clothing Women'],4.13,3657.0,1
softer than,3,8.7,['Clothing Women'],4.03,3748.0,1
regular socks,3,9.7,['Clothing Women'],4.13,3657.0,1
lock,3,12.7,['Clothing Women'],4.3,4458.0,1
socks free,3,13.7,['Clothing Women'],4.03,14860.0,1
size pack,3,14.3,['Clothing Women'],4.13,15274.0,1
zoro,3,14.0,['Clothing Women'],3.9,2864.0,1
