keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count,total_rank
skin,236,14.8,"['Body Care', 'Pet Care', 'Beauty', 'Sun Care', 'Hair Care', 'Skincare']",4.25,23657.0,6,28.200000000000003
hair,204,16.2,"['Beauty', 'Hair Care', 'Pet Care', 'Jewellery']",4.14,381.0,4,25.2
women,149,16.0,"['Body Care', 'Beauty', 'Jewellery', 'Clothing Women', 'Sun Care', 'Hair Care', 'Electronics', 'Skincare']",4.03,10610.0,8,28.6
cleaner,142,16.8,"['Household Cleaners', 'Toilet Cleaners']",4.25,10613.0,2,32.8
men,130,16.0,"['Body Care', 'Beauty', 'Jewellery', 'Clothing Women', 'Sun Care', 'Hair Care', 'Electronics', 'Skincare']",4.03,10610.0,8,29.4
pack of,116,12.8,"['Body Care', 'Pet Care', 'Household Cleaners', 'Kitchen', 'Toilet Cleaners', 'Beauty', 'Jewellery', 'Clothing Women', 'Sun Care', 'Hair Care', 'Skincare']",4.3,531.0,11,29.2
all,96,26.0,"['Body Care', 'Books', 'Pet Care', 'Household Cleaners', 'Toilet Cleaners', 'Beauty', 'Sun Care', 'Hair Care', 'Electronics', 'Skincare']",4.07,20784.0,10,44.5
toilet,94,14.9,"['Household Cleaners', 'Toilet Cleaners']",4.31,16668.0,2,31.299999999999997
for men,87,16.0,"['Body Care', 'Beauty', 'Jewellery', 'Clothing Women', 'Sun Care', 'Hair Care', 'Electronics', 'Skincare']",4.03,10610.0,8,28.5
protection,86,10.7,"['Body Care', 'Pet Care', 'Household Cleaners', 'Kitchen', 'Beauty', 'Jewellery', 'Clothing Women', 'Sun Care', 'Hair Care', 'Skincare']",3.83,709.0,10,27.0
dry,85,14.0,"['Body Care', 'Pet Care', 'Kitchen', 'Beauty', 'Sun Care', 'Hair Care', 'Skincare']",4.3,33777.0,7,28.6
kids,81,17.2,"['Toys', 'Books', 'Jewellery', 'Sun Care']",4.3,393.0,4,31.5
oil,80,17.7,"['Toys', 'Body Care', 'Beauty', 'Sun Care', 'Food', 'Hair Care', 'Skincare']",4.26,26632.0,7,32.2
sunscreen,80,10.7,"['Beauty', 'Skincare', 'Sun Care']",4.19,15310.0,3,26.6
