rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
22,B0DQ8K4WVK,Parachute Advansed Gold Keratin Coconut Hair Oil | Thick & Smooth Hair| No Paraben or Silicone | 300ml,Parachute,120.6,INR,4.2,648,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/619yK5RuXaL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Parachute-Advansed-Keratin-Coconut-Silicone/dp/B0DQ8K4WVK/ref=zg_bs_g_9851597031_d_sccl_22/522-7345175-6782152?psc=1,2026-03-24T12:56:18.417966,1,18,True,budget,medium
23,B06XFWVWMS,"Soulflower Rosemary Hair Growth Oil, Hair Fall Control, Healthy Scalp, Strong Hair, Rosemary, Lavender, Castor|100% Pure, Natural, Organic, Clinically Proven for Hair Growth, 225ml",Soulflower,238.0,INR,4.2,21772,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61hAflgZguL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Soulflower-Natural-Rosemary-Lavender-Healthy/dp/B06XFWVWMS/ref=zg_bs_g_9851597031_d_sccl_23/522-7345175-6782152?psc=1,2026-03-24T12:56:18.419141,1,24,True,budget,high
24,B003NQESIS,Parachute Coconut Oil - 1 L Pet Jar,Parachute,449.0,INR,4.4,42249,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/71UAbfo2kjL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Parachute-Coconut-Oil-1-L/dp/B003NQESIS/ref=zg_bs_g_9851597031_d_sccl_24/522-7345175-6782152?psc=1,2026-03-24T12:56:18.420246,1,8,True,budget,high
25,B07NDXJGF8,"L'Oréal Professionnel Absolut Repair Mask for Dry & Damaged Hair - 250ml | Professional mask for Strengthening and Repairing Hair, With Protein & Omega-9, For Men & Women",L'Oréal,891.0,INR,4.1,11882,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61BkUCDM8VL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/LOr%C3%A9al-Professionnel-Absolut-Repair-Damaged/dp/B07NDXJGF8/ref=zg_bs_g_9851597031_d_sccl_25/522-7345175-6782152?psc=1,2026-03-24T12:56:18.421340,1,28,True,mid,high
26,B0CCYRK98P,"Nat Habit - Fresh Ready To Apply Henna Paste, Pre-Soaked in Black Tea and Herbs,100% Natural Rajasthani Henna, Imparts Rich Brown Shade (Pack of 2 x 220g)",Nat,355.0,INR,4.1,6257,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61Y0oAR0dAL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Nat-Habit-Pre-Soaked-Natural-Rajasthani/dp/B0CCYRK98P/ref=zg_bs_g_9851597031_d_sccl_26/522-7345175-6782152?psc=1,2026-03-24T12:56:18.423536,1,27,True,budget,high
27,B07H9T25WH,Dove Hair Fall Rescue Shampoo 1 L|| For Damaged Hair|| Hair Fall Control for Thicker Hair - Mild Daily Anti Hair Fall Shampoo for Men & Women,Dove,700.0,INR,4.3,52837,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/41R69jyJqsL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Dove-Hair-Fall-Rescue-Shampoo/dp/B07H9T25WH/ref=zg_bs_g_9851597031_d_sccl_27/522-7345175-6782152?psc=1,2026-03-24T12:56:18.425190,1,27,True,mid,high
28,B0CPJB7WW7,Be Bodywise Rosemary Hair Growth Serum (Roll On) | 3% Redensyl & 2% Anagain | Hair fall control serum for Women & Men | Promotes Hair Growth & Stimulates Hair Follicles | For All Hair Types | 25ml,Be,599.0,INR,4.4,3043,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61hPKEtnF2L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Be-Bodywise-Rosemary-Stimulates-Follicles/dp/B0CPJB7WW7/ref=zg_bs_g_9851597031_d_sccl_28/522-7345175-6782152?psc=1,2026-03-24T12:56:18.426827,1,38,True,mid,high
29,B0FGXF41R1,"L’Oréal Paris Glycolic Gloss Shine Boosting Shampoo, powered by 3% Glycolic Acid, for dull hair, restores hair quality for gives 3x more gloss, 800ml",L’Oréal,520.0,INR,4.3,1227,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/51em1ES4YvL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Paris-Glycolic-Boosting-Shampoo-restores/dp/B0FGXF41R1/ref=zg_bs_g_9851597031_d_sccl_29/522-7345175-6782152?psc=1,2026-03-24T12:56:18.428444,1,24,True,mid,high
30,B0CP5S82ZV,"Kokila NO PPD Shampoo Hair Colour - Black 400ml for Women and Men | Natural Extracts | Colours Hair in 10 Minutes | Ammonia Free, Paraben Free - 10 Pair Free Gloves",Kokila,770.0,INR,4.2,4001,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/81a8NrQOz5L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Kokila-PPD-Shampoo-Hair-Colour/dp/B0CP5S82ZV/ref=zg_bs_g_9851597031_d_sccl_30/522-7345175-6782152?psc=1,2026-03-24T12:56:18.430100,1,32,True,mid,high
1,B00S850C5C,Indulekha Bringha Ayurvedic Hair Oil 100 ml|| Hair Fall Control and Hair Growth with Bringharaj & Coconut Oil - Comb Applicator Bottle for Men & Women,Indulekha,286.0,INR,4.1,73849,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61IxF1ljJHL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Indulekha-Bringha-Ayurvedic-Control-Bringharaj/dp/B00S850C5C/ref=zg_bs_g_9851597031_d_sccl_1/522-7345175-6782152?psc=1,2026-03-24T12:56:24.412250,2,26,True,budget,high
2,B09TQZY1KY,Bare Anatomy Ultra Smoothing Hair Mask For Dry & Frizzy Hair | Restores Smoothness & Texture by 27% | Powered By Carbohydrate Complex & Niacinamide | For Women & Men | SLS & Paraben Free | 250gm,Bare,499.0,INR,4.4,1680,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/51hFyqEKssL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Bare-Anatomy-Niacinamide-Strengthens-Unmanageable/dp/B09TQZY1KY/ref=zg_bs_g_9851597031_d_sccl_2/522-7345175-6782152?psc=1,2026-03-24T12:56:24.413366,2,37,True,budget,high
3,B09MTMX8ZN,"Nat Habit Cold Pressed 100% Pure Castor (Arandi) Oil for Skin & Hair With Vitamin E, Omega-6 & 9, Mineral Free & Preservative Free (200 ml)",Nat,289.0,INR,4.3,2866,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/51xsnK2xZwL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Nat-Habit-Eyelashes-Ayurvedic-Preservatives/dp/B09MTMX8ZN/ref=zg_bs_g_9851597031_d_sccl_3/522-7345175-6782152?psc=1,2026-03-24T12:56:24.414407,2,26,True,budget,high
4,B0CGM3H7SN,Parachute Advansed Rosemary-enriched Coconut Hair Oil| Rosemary Hair Oil| Superfoods Magic| Long & Thick Hair|300 Ml,Parachute,159.0,INR,4.2,3966,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61jZRULdVuL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Parachute-Advansed-Rosemary-enriched-Rosemary-Superfoods/dp/B0CGM3H7SN/ref=zg_bs_g_9851597031_d_sccl_4/522-7345175-6782152?psc=1,2026-03-24T12:56:24.415520,2,16,True,budget,high
5,B01MZ9YXTV,"Cuticolor Permanent Hair Color Cream|#1 Dr Prescribed|For Sensitive Skin|Eco Mechanism For Preserving Scalp Health|Enriched With Portulaca & Boseivela Extracts Dark Brown, 60G (Pack Of 1)",Cuticolor,1709.05,INR,4.0,1846,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61Hncm0jVrL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Cuticolor-Permanent-Hair-Color/dp/B01MZ9YXTV/ref=zg_bs_g_9851597031_d_sccl_5/522-7345175-6782152?psc=1,2026-03-24T12:56:24.416746,2,25,True,mid,high
